code,date,open,high,low,close,volume,amount
600001,2024-01-01,29.52,30.82,28.91,29.77,45201,1345633.77
600001,2024-01-02,29.81,31.02,29.05,30.05,51234,1539581.70
600001,2024-01-03,30.10,31.55,29.60,30.82,48921,1507745.22
600001,2024-01-04,30.75,32.10,30.25,31.42,53672,1686404.24
600001,2024-01-05,31.38,32.66,30.89,31.95,47823,1527944.85
600001,2024-01-08,32.01,33.22,31.45,32.56,59012,1921430.72
600001,2024-01-09,32.49,33.78,31.99,33.01,52418,1730318.18
600001,2024-01-10,32.95,34.12,32.36,33.48,46729,1564686.92
600002,2024-01-01,35.12,36.55,34.21,35.68,62100,2215728.00
600002,2024-01-02,35.70,37.10,34.89,36.22,58420,2116072.40
600002,2024-01-03,36.18,37.66,35.42,36.90,64350,2374515.00
600002,2024-01-04,36.85,38.21,36.02,37.41,51225,1916327.25
600002,2024-01-05,37.36,38.75,36.69,37.98,66890,2540482.20
600002,2024-01-08,37.92,39.30,37.21,38.56,70123,2703942.88
600002,2024-01-09,38.50,39.86,37.85,39.12,62450,2443044.00
600002,2024-01-10,39.06,40.42,38.39,39.67,57810,2293322.70
600003,2024-01-01,40.25,41.88,39.12,40.89,75200,3074823.00
600003,2024-01-02,40.82,42.45,39.69,41.46,80125,3322082.50
600003,2024-01-03,41.40,43.02,40.25,42.03,72450,3045073.50
600003,2024-01-04,41.96,43.58,40.81,42.58,78960,3362516.80
600003,2024-01-05,42.51,44.12,41.36,43.15,83210,3590511.50
600003,2024-01-08,43.08,44.69,41.92,43.72,76540,3346528.80
600003,2024-01-09,43.65,45.25,42.48,44.29,69870,3094542.30
600003,2024-01-10,44.22,45.81,43.03,44.85,74120,3324282.00
