date,open,high,low,close,volume
2024-01-02,30.10,30.75,29.82,30.50,1250000
2024-01-03,30.55,31.20,30.30,30.92,1380000
2024-01-04,30.95,31.58,30.76,31.35,1420000
2024-01-05,31.32,31.72,30.95,31.18,1310000
2024-01-06,31.20,31.45,30.62,30.75,1190000
2024-01-07,30.78,31.10,30.25,30.42,1080000
2024-01-08,30.45,30.92,30.10,30.70,1220000
2024-01-09,30.72,31.35,30.58,31.15,1350000
2024-01-10,31.18,31.80,31.02,31.52,1460000
2024-01-11,31.55,32.10,31.32,31.88,1520000
2024-01-12,31.90,32.35,31.65,32.10,1580000
2024-01-13,32.12,32.62,31.88,32.45,1630000
2024-01-14,32.48,32.90,32.15,32.62,1690000
2024-01-15,32.65,33.12,32.40,32.85,1750000
2024-01-16,32.88,33.35,32.68,33.10,1820000
2024-01-17,33.12,33.60,32.92,33.42,1880000
2024-01-18,33.45,33.95,33.20,33.75,1950000
2024-01-19,33.78,34.20,33.52,34.02,2010000
2024-01-20,34.05,34.48,33.78,34.25,2080000
2024-01-21,34.28,34.72,34.05,34.50,2150000
2024-01-22,34.52,34.95,34.28,34.72,2210000
2024-01-23,34.75,35.18,34.50,34.98,2280000
2024-01-24,35.00,35.42,34.72,35.25,2350000
2024-01-25,35.28,35.65,34.98,35.42,2410000
2024-01-26,35.45,35.88,35.20,35.68,2480000
2024-01-27,35.70,36.12,35.45,35.95,2550000
2024-01-28,35.98,36.35,35.70,36.18,2610000
2024-01-29,36.20,36.58,35.95,36.42,2680000
2024-01-30,36.45,36.82,36.18,36.65,2750000
2024-01-31,36.68,37.05,36.42,36.88,2810000
2024-02-01,36.90,37.28,36.65,37.12,2880000
2024-02-02,37.15,37.52,36.88,37.35,2950000
2024-02-03,37.38,37.75,37.12,37.58,3010000
2024-02-04,37.60,37.98,37.35,37.82,3080000
2024-02-05,37.85,38.22,37.58,38.05,3150000
2024-02-06,38.08,38.45,37.82,38.30,3210000
2024-02-07,38.32,38.68,38.05,38.52,3280000
2024-02-08,38.55,38.92,38.30,38.75,3350000
2024-02-09,38.78,39.15,38.52,39.00,3410000
2024-02-10,39.02,39.38,38.75,39.22,3480000
2024-02-11,39.25,39.62,39.00,39.48,3550000
2024-02-12,39.50,39.85,39.22,39.70,3610000
2024-02-13,39.72,40.08,39.48,39.95,3680000
2024-02-14,39.98,40.32,39.70,40.18,3750000
2024-02-15,40.20,40.55,39.95,40.42,3810000
2024-02-16,40.45,40.78,40.18,40.65,3880000
2024-02-17,40.68,41.02,40.42,40.90,3950000
2024-02-18,40.92,41.25,40.65,41.12,4010000
2024-02-19,41.15,41.48,40.90,41.38,4080000
2024-02-20,41.40,41.72,41.12,41.60,4150000
2024-02-21,41.62,41.95,41.38,41.85,4210000
2024-02-22,41.88,42.20,41.60,42.08,4280000
2024-02-23,42.10,42.42,41.85,42.32,4350000
2024-02-24,42.35,42.65,42.08,42.55,4410000
2024-02-25,42.58,42.88,42.32,42.78,4480000
2024-02-26,42.80,43.12,42.55,43.02,4550000
2024-02-27,43.05,43.35,42.78,43.25,4610000
2024-02-28,43.28,43.58,43.02,43.48,4680000
2024-03-01,43.50,43.82,43.25,43.72,4750000
2024-03-02,43.75,44.05,43.48,43.95,4810000
2024-03-03,43.98,44.28,43.72,44.18,4880000
2024-03-04,44.20,44.52,43.95,44.42,4950000
2024-03-05,44.45,44.75,44.18,44.65,5010000
2024-03-06,44.68,44.98,44.42,44.88,5080000
2024-03-07,44.90,45.22,44.65,45.12,5150000
2024-03-08,45.15,45.45,44.88,45.35,5210000
2024-03-09,45.38,45.68,45.12,45.58,5280000
2024-03-10,45.60,45.92,45.35,45.82,5350000
2024-03-11,45.85,46.15,45.58,46.05,5410000
2024-03-12,46.08,46.38,45.82,46.30,5480000
2024-03-13,46.32,46.62,46.05,46.52,5550000
2024-03-14,46.55,46.85,46.30,46.78,5610000
2024-03-15,46.80,47.10,46.52,47.00,5680000
2024-03-16,47.02,47.32,46.78,47.25,5750000
2024-03-17,47.28,47.55,47.00,47.48,5810000
2024-03-18,47.50,47.78,47.25,47.72,5880000
2024-03-19,47.75,48.02,47.48,47.95,5950000
2024-03-20,47.98,48.25,47.72,48.18,6010000
2024-03-21,48.20,48.48,47.95,48.42,6080000
2024-03-22,48.45,48.72,48.18,48.65,6150000
2024-03-23,48.68,48.95,48.42,48.90,6210000
2024-03-24,48.90,49.18,48.65,49.12,6280000
2024-03-25,49.15,49.42,48.90,49.38,6350000
2024-03-26,49.38,49.65,49.12,49.60,6410000
2024-03-27,49.62,49.88,49.38,49.85,6480000
2024-03-28,49.85,50.12,49.60,50.08,6550000
2024-03-29,50.08,50.35,49.85,50.32,6610000
2024-03-30,50.30,50.58,50.08,50.55,6680000
2024-03-31,50.52,50.80,50.32,50.78,6750000
2024-04-01,50.75,51.02,50.55,51.00,6810000
2024-04-02,51.00,51.25,50.78,51.25,6880000
2024-04-03,51.28,51.52,51.00,51.48,6950000
2024-04-04,51.50,51.75,51.25,51.72,7010000
2024-04-05,51.72,51.98,51.48,51.95,7080000
2024-04-06,51.95,52.20,51.72,52.18,7150000
2024-04-07,52.18,52.42,51.95,52.42,7210000
2024-04-08,52.40,52.65,52.18,52.65,7280000
2024-04-09,52.62,52.88,52.42,52.90,7350000
2024-04-10,52.85,53.10,52.65,53.12,7410000
